name,recclass,mass (g),year,reclat,reclong
Baroti,L6,4500,01/01/1910 12:00:00 AM,31.616670,76.800000
Barwell,L5,44000,01/01/1965 12:00:00 AM,52.565280,-1.339720
Bassikounou,H5,29560,01/01/2006 12:00:00 AM,15.783330,-5.900000
Baszkówka,L5,15500,01/01/1994 12:00:00 AM,52.033330,20.935830
Bath,H4,21000,01/01/1892 12:00:00 AM,45.416670,-98.316670
Bath Furnace,L6,86000,01/01/1902 12:00:00 AM,38.250000,-83.750000
Battle Mountain,L6,2900,01/01/2012 12:00:00 AM,40.668130,-117.189130
Bawku,LL5,1557,01/01/1989 12:00:00 AM,11.083330,-0.183330
Baxter,L6,611,01/01/1916 12:00:00 AM,36.750000,-93.500000
Beardsley,H5,16000,01/01/1929 12:00:00 AM,39.800000,-101.200000
Beaver Creek,H5,14000,01/01/1893 12:00:00 AM,51.166670,-117.333330
Beddgelert,H5,794,01/01/1949 12:00:00 AM,53.016670,-4.100000
Bells,C2-ung,375,01/01/1961 12:00:00 AM,33.600000,-96.466670
Belville,OC,,01/01/1937 12:00:00 AM,-32.333330,-64.866670
Benares (a),LL4,3700,01/01/1798 12:00:00 AM,25.366670,82.916670
Benguerir,LL6,25000,01/01/2004 12:00:00 AM,32.250000,-8.150000
Beni M'hira,L6,19000,01/01/2001 12:00:00 AM,32.866670,10.800000
Benld,H6,1770.5,01/01/1938 12:00:00 AM,39.083330,-89.150000
Benoni,H6,3880,01/01/1943 12:00:00 AM,-26.166670,28.416670
Bensour,LL6,45000,01/01/2002 12:00:00 AM,30.000000,-7.000000
Benton,LL6,2840,01/01/1949 12:00:00 AM,45.950000,-67.550000
Berduc,L6,270,01/01/2008 12:00:00 AM,-31.910000,-58.328330
Béréba,Eucrite-mmict,18000,01/01/1924 12:00:00 AM,11.650000,-3.650000
Berlanguillas,L6,1440,01/01/1811 12:00:00 AM,41.683330,-3.800000
Berthoud,Eucrite-mmict,960,01/01/2004 12:00:00 AM,40.305830,-105.023250
Bethlehem,H,13.9,01/01/1859 12:00:00 AM,42.533330,-73.833330
Beuste,L5,2000,01/01/1859 12:00:00 AM,43.216670,-0.233330
Beyrout,LL3.8,1100,01/01/1921 12:00:00 AM,33.883330,35.500000
Bhagur,L6,18,01/01/1877 12:00:00 AM,20.883330,74.833330
Bhawad,LL6,678,01/01/2002 12:00:00 AM,26.508330,73.115280
Bherai,L6,100,01/01/1893 12:00:00 AM,20.833330,71.466670
Bhola,LL3-6,1047,01/01/1940 12:00:00 AM,22.683330,90.650000
Bholghati,Howardite,2500,01/01/1905 12:00:00 AM,22.083330,86.900000
Bialystok,Eucrite-pmict,4000,01/01/1827 12:00:00 AM,53.100000,23.200000
Bielokrynitschie,H4,1900,01/01/1887 12:00:00 AM,50.133330,27.166670
Bilanga,Diogenite,25000,01/01/1999 12:00:00 AM,12.450000,-0.083330
Binningup,H5,488.1,01/01/1984 12:00:00 AM,-33.156390,115.676390
Birni N'konni,H4,560,01/01/1923 12:00:00 AM,13.766670,5.300000
Bishopville,Aubrite,6000,01/01/1843 12:00:00 AM,34.166670,-80.283330
Bishunpur,LL3.15,1039,01/01/1895 12:00:00 AM,25.383330,82.600000
Bjelaja Zerkov,H6,1850,01/01/1796 12:00:00 AM,49.783330,30.166670
Bjurböle,L/LL4,330000,01/01/1899 12:00:00 AM,60.400000,25.800000
Black Moshannan Park,L5,705,01/01/1941 12:00:00 AM,40.916670,-78.083330
Blackwell,L5,2381,01/01/1906 12:00:00 AM,36.833330,-97.333330
Blanket,L6,5100,01/01/1909 12:00:00 AM,31.833330,-98.833330
Blansko,H6,470,01/01/1833 12:00:00 AM,49.366670,16.633330
Bloomington,LL6,67.8,01/01/1938 12:00:00 AM,40.480000,-89.004170
Bo Xian,LL3.9,7500,01/01/1977 12:00:00 AM,33.833330,115.833330
Bocas,L6,56,01/01/1804 12:00:00 AM,23.000000,-102.000000
Bogou,"Iron, IAB-MG",8800,01/01/1962 12:00:00 AM,12.500000,0.700000
Boguslavka,"Iron, IIAB",256000,01/01/1916 12:00:00 AM,44.550000,131.633330
Borgo San Donino,LL6,1676,01/01/1808 12:00:00 AM,44.866670,10.050000
Bori,L6,8600,01/01/1894 12:00:00 AM,21.950000,78.033330
Boriskino,CM2,1342,01/01/1930 12:00:00 AM,54.233330,52.483330
Borkut,L5,7000,01/01/1852 12:00:00 AM,48.150000,24.283330
Borodino,H5,500,01/01/1812 12:00:00 AM,55.466670,35.866670
Botschetschki,L4,614,01/01/1823 12:00:00 AM,51.333330,33.883330
Boumdeid (2003),L6,190,01/01/2003 12:00:00 AM,17.710670,-11.371500
Boumdeid (2011),L6,3599,01/01/2011 12:00:00 AM,17.174930,-11.341330
Bovedy,L3,5460,01/01/1969 12:00:00 AM,54.566670,-6.333330
Bradford Woods,L,762,01/01/1886 12:00:00 AM,40.500000,-80.083330
Braunau,"Iron, IIAB",39000,01/01/1847 12:00:00 AM,50.600000,16.300000
Breitscheid,H5,1500,01/01/1956 12:00:00 AM,50.666940,8.183610
Bremervörde,H/L3.9,7250,01/01/1855 12:00:00 AM,53.400000,9.100000
Brient,Eucrite-pmict,219,01/01/1933 12:00:00 AM,52.133330,59.316670
Bruderheim,L6,303000,01/01/1960 12:00:00 AM,53.900000,-112.883330
Bukhara,CV3,5300,01/01/2001 12:00:00 AM,39.779780,64.600350
Bulls Run,Iron?,2250,01/01/1964 12:00:00 AM,,
Bunburra Rockhole,Eucrite,324,01/01/2007 12:00:00 AM,-31.350000,129.190000
Bununu,Howardite,357,01/01/1942 12:00:00 AM,10.016670,9.583330
Bur-Gheluai,H5,120000,01/01/1919 12:00:00 AM,5.000000,48.000000
Burnwell,H4-an,1504,01/01/1990 12:00:00 AM,37.621940,-82.237220
Bursa,L6,25000,01/01/1946 12:00:00 AM,40.200000,29.233330
Buschhof,L6,5000,01/01/1863 12:00:00 AM,46.450000,25.783330
Bustee,Aubrite,1500,01/01/1852 12:00:00 AM,26.783330,82.833330
Butsura,H6,29000,01/01/1861 12:00:00 AM,27.083330,84.083330
Buzzard Coulee,H4,41000,01/01/2008 12:00:00 AM,52.996000,-109.848170
Cabezo de Mayo,L/LL6,25000,01/01/1870 12:00:00 AM,37.983330,-1.166670
Cabin Creek,"Iron, IIIAB",48500,01/01/1886 12:00:00 AM,35.500000,-93.500000
Cacak,OC,212,01/01/1919 12:00:00 AM,43.838890,20.333330
Cali,H/L4,478,01/01/2007 12:00:00 AM,3.405000,-76.510000
Calivo,Stone-uncl,2400,01/01/1916 12:00:00 AM,11.750000,122.333330
Campos Sales,L5,23680,01/01/1991 12:00:00 AM,-7.033330,-40.166670
Çanakkale,L6,4000,01/01/1964 12:00:00 AM,39.800000,26.600000
Cañellas,H4,945,01/01/1861 12:00:00 AM,41.250000,1.666670
Cangas de Onis,H5,34000,01/01/1866 12:00:00 AM,43.383330,-5.150000
Canon City,H6,1400,01/01/1973 12:00:00 AM,38.470280,-105.241390
Cape Girardeau,H6,2300,01/01/1846 12:00:00 AM,37.266670,-89.583330
Capilla del Monte,H6,750,01/01/1934 12:00:00 AM,-30.883330,-64.550000
